image,caption
dataset/MRI_DATASET/alzheimers_hf/train/train_0.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_1.png,Brain MRI of a patient with Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_2.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_3.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_4.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_5.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_6.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_7.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_8.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_9.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_10.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_11.png,Brain MRI of a patient with Moderate Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_12.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_13.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_14.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_15.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_16.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_17.png,Brain MRI of a patient with Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_18.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_19.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_20.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_21.png,Brain MRI of a patient with Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_22.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_23.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_24.png,Brain MRI of a patient with Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_25.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_26.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_27.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_28.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_29.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_30.png,Brain MRI of a patient with Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_31.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_32.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_33.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_34.png,Brain MRI of a patient with Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_35.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_36.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_37.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_38.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_39.png,Brain MRI of a patient with Very Mild Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_40.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_41.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_42.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_43.png,Brain MRI of a patient with Non Demented alzheimers
dataset/MRI_DATASET/alzheimers_hf/train/train_44.png,Brain MRI of a patient with Non Demented alzheimers
