Image,Caption
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5466.png,Flair Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2377.png,Flair Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1808.png,Flair Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_6526.png,Brain MRI of a patient without any disease
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4166.png,Brain MRI with pituitary tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4240.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_6657.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4225.png,Flair Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5597.png,Brain MRI with glioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_337.png,Brain MRI of a patient without any disease
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3748.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4083.png,T1-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4960.png,Flair Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3513.png,T1-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_6169.png,Brain MRI with glioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3461.png,Brain MRI with pituitary tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7557.png,Brain MRI of a patient with Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7637.png,T1-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4075.png,Brain MRI with pituitary tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_6192.png,Brain MRI of a patient with Very Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2428.png,Flair Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_719.png,Brain MRI of a patient without any disease
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1881.png,T2-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2425.png,Brain MRI with meningioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7602.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1400.png,Brain MRI of a patient with Non Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_101.png,T1-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4822.png,Brain MRI of a patient with Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3809.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_6937.png,Flair Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_574.png,Brain MRI of a patient with Very Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3358.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5807.png,Brain MRI with meningioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4356.png,T1-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7896.png,Brain MRI of a patient with Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1251.png,Brain MRI of a patient without any disease
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2560.png,Brain MRI with glioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3817.png,Brain MRI of a patient with Pituitary tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3289.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7033.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2107.png,Brain MRI of a patient with Non Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3820.png,Brain MRI of a patient with Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4597.png,Brain MRI of a patient with Meningioma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7029.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4716.png,Brain MRI of a patient without any disease
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5428.png,Brain MRI with glioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4627.png,T1-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1366.png,Flair Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_447.png,Brain MRI of a patient with Meningioma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7168.png,Brain MRI with glioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3415.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4140.png,T2-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2349.png,Flair Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3204.png,Brain MRI of a patient with Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5663.png,T2-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5591.png,Flair Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5801.png,Brain MRI of a patient with Very Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5612.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_72.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1758.png,Brain MRI of a patient with Non Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2305.png,Flair Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5699.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7555.png,Brain MRI of a patient with Pituitary tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5899.png,Brain MRI of a patient with Meningioma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2623.png,T1-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4159.png,Brain MRI of a patient without any disease
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5412.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4760.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_6982.png,T1-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4432.png,Brain MRI with meningioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_6041.png,Brain MRI of a patient with Pituitary tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2790.png,Brain MRI with glioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5405.png,T1-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_766.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4955.png,Brain MRI with meningioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3986.png,Brain MRI of a patient with Meningioma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4911.png,T1-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2051.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_4095.png,Brain MRI of a patient with Pituitary tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1267.png,Brain MRI of a patient with Meningioma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3197.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_513.png,T1-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5378.png,Brain MRI of a patient with Pituitary tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_276.png,Brain MRI of a patient with Very Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_252.png,Brain MRI with pituitary tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2125.png,T2-Weighted Brain MRI of a Patient with Sclerosis.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_2396.png,T1-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1378.png,Brain MRI with meningioma tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5448.png,Brain MRI with pituitary tumor
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_5137.png,Brain MRI of a patient with Very Mild Demented alzheimers
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_7092.png,T2-Weighted Brain MRI of a Patient with Tumour.
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_1313.png,Brain MRI of a patient with Giloma tumour
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3685.png,Brain MRI of a patient without any disease
outputs/sample_control_net/samples_image_outputs/028-MMDiT-B-2/checkpoint_control_net_0550000.pt/sample_3724.png,Brain MRI of a patient with Non Demented alzheimers
